,Name,Unnamed: 0,MRN,Legal gender,DOB,Telephone,SSN,Doctors Name,patients_adress,Doctors Address,Health Plan Number,Date of Visit,Admission Type,Test Results,Billing Account Number,RN,Language spoken,Language written,Email,Marital status,symptoms,Contact Person Name,Date of Discharge
7486,Steve Beard,7486,9189474912,Male,1999-04-26,+1276-716-8526,145-82-8535,David Luna,"26810 Lauren Motorway Silvashire, ND 96072","4920 Blackwell Junction South Robertfort, UT 30036",HPB-10782,2022-04-20,Elective,Normal,#974154,Evan Brown,English,,Steve.Beard@gmail.com,Married,"Abdominal pain, high blood pressure, kidney cysts",Jacob Moses (fiancee),2022-05-19
7487,Kristen Davis,7487,2611811381,Female,1944-04-20,+1682-678-2193,284-57-4413,Sherri Myers,"10820 Tina Extensions Apt. 102 Woodside, WY 08942","4652 Wells Land Suite 852 Morganhaven, PW 91161",HPB-88143,2021-07-09,Emergency,Inconclusive,#864913,Lori Ramirez,English,,Kristen.Davis@brown.com,Married,High blood pressure without proteinuria (preeclampsia),Katherine Baker (friend),2021-08-01
7488,Roberta Lopez,7488,3242316392,Female,1983-04-29,+1713-127-4493,969-99-8228,Jorge Grant,"83800 Scott Canyon Christopherside, NJ 91368","PSC 4303, Box 3291 APO AA 83669",HPB-21870,2019-05-09,Elective,Inconclusive,#223528,Kevin Russell,English,,Roberta.Lopez@brown.com,Single,,Dylan Long (fiancee),2019-05-16
7489,John Perez,7489,6982467868,Male,1968-01-22,+1517-445-8519,682-22-4657,Debbie Underwood,Unit 8513 Box 1452 DPO AP 87021,"20089 Melissa Island Suite 010 South Phillipton, FL 51678",HPB-86241,2023-06-05,Elective,Normal,#646832,Michael Daniel,English,,John.Perez@dhl.com,Single,fatigue,Allison Clark (fiancee),2023-06-15
7490,Amy Sanchez,7490,2653609132,Female,1989-02-14,+1901-334-3174,206-35-8625,David Fox,"8973 Anderson Mount Suite 093 East Theresafort, VA 13203","290 Kayla Point Apt. 908 Quinnland, DE 30580",HPB-58232,2022-08-21,Elective,Abnormal,#441673,Julia Jones,English,,Amy.Sanchez@aol.com,Single,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Cindy Lewis (girlfriend),2022-09-12
7491,Luis Wolf,7491,7770591760,Male,1939-02-24,+1636-162-5731,162-27-9752,Jeffrey Ramirez,"2240 Doyle Camp Kellyfurt, TN 87246","PSC 2816, Box 0269 APO AP 56600",HPB-70426,2021-09-19,Emergency,Abnormal,#704666,Micheal Murphy,English,,Luis.Wolf@web.com,Married,"fever, cough and fatigue",Rebecca Wright (girlfriend),2021-10-11
7492,Jessica Murphy,7492,4706445259,Female,1961-01-10,+1619-145-1333,487-61-5102,Michael Smith,"20561 Kathleen Expressway Apt. 585 Normatown, ND 45891","844 Charlene Lake Port Christinaberg, DE 84893",HPB-19642,2020-08-25,Elective,Inconclusive,#249923,Jennifer Mitchell,English,,Jessica.Murphy@gmail.com,Divorced,High blood sugar levels during pregnancy,Frederick Lee (friend),2020-09-01
7493,Michael Morris,7493,6779226570,Male,2006-02-08,+1916-136-3302,864-96-1596,Melissa Kennedy,"6084 Anderson Union Suite 544 Mccoychester, KY 15818","13466 William Camp Leonfurt, VT 73916",HPB-60604,2023-09-14,Elective,Normal,#322509,Mckenzie Moreno,English,,Michael.Morris@web.com,Married,fatigue,"Gregory Morris (father), Justin Morris (mother)",2023-09-16
7494,Hannah Williamson,7494,1661271558,Female,1951-12-03,+1951-773-4357,667-16-2742,Mark Clark,Unit 4389 Box 5756 DPO AE 03467,"086 Brittany Points Apt. 427 Port Deborahstad, MA 01424",HPB-87102,2022-04-13,Urgent,Inconclusive,#938850,Mr. Steven Scott,English,,Hannah.Williamson@yahoo.com,Single,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",James Nelson (friend),2022-04-24
7495,Bradley Thompson,7495,8778179714,Male,2004-04-04,+1719-257-5443,277-91-6628,Latoya Miles,"PSC 8603, Box 8090 APO AA 37718","431 Barnes Knoll Smithmouth, ID 45967",HPB-74800,2019-06-06,Emergency,Abnormal,#478154,Julie Mcdaniel,Spanish,English,Bradley.Thompson@web.com,Single,High blood pressure without proteinuria (preeclampsia),"Whitney Thompson (father), Daniel Thompson (mother)",2019-07-01
7496,Lauren Anderson,7496,8545038981,Female,1995-02-02,+1781-795-4462,395-71-1185,George Baker,"33277 Stewart Crossing West Derek, NC 80596","95840 Garrett Glens Apt. 126 Jackietown, TN 71859",HPB-32886,2020-07-12,Elective,Inconclusive,#973156,Amy Middleton PhD,English,,Lauren.Anderson@web.com,Married,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",Ruth Gentry (fiancee),2020-08-07
7497,Brenda Perez,7497,8690409531,Female,2025-02-11,+1610-107-9441,495-14-1035,Ryan Harris,USNV Taylor FPO AE 67021,"918 Diaz Fields Moralesview, MN 31775",HPB-68524,2025-02-28,Emergency,Abnormal,,Joseph Houston,English,,Brenda.Perez@gmx.com,Single,"fever, cough and fatigue","Brian Perez (father), George Perez (mother)",
7498,Joan Young,7498,8846531943,Female,1966-05-14,+1209-981-4432,615-95-4311,Bridget Vang,"106 Jasmine Villages Apt. 388 East Aaron, NM 62927","43876 Jessica Meadow Apt. 285 Lake Devinville, GU 23244",HPB-69652,2020-05-29,Emergency,Inconclusive,#833601,Todd Gomez,English,,Joan.Young@aol.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Karina Rodriguez (fiancee),2020-06-14
7499,Mark Taylor,7499,9281451681,Male,1950-02-14,+1815-103-5527,884-53-7913,Jillian Baker,"22428 Debra Expressway Suite 261 North Frank, AK 66239","34581 Mccullough Ports Port Jasmine, NY 94554",HPB-77367,2024-04-15,Urgent,Inconclusive,#874435,April Smith,English,,Mark.Taylor@aol.com,Single,"Persistent cough with yellow or green mucus, chest congestion, fatigue",Kathryn Best (fiancee),2024-05-05
7500,Jacqueline Kim,7500,8437077248,Female,2020-01-27,+1814-108-8362,997-65-4426,Katherine Mcneil,"24848 Natalie Lane West Bradleystad, SC 40283","484 Scott Pines Apt. 514 South Christinachester, WA 63603",HPB-93197,2025-04-20,Urgent,Abnormal,,Sara Herman,English,,Jacqueline.Kim@gmx.com,Single,,"Cole Kim (father), Russell Kim (mother)",
7501,Connie Evans,7501,8293433182,Female,1945-04-02,+1252-157-9891,282-15-1287,Teresa Hopkins,"397 Joseph Crossing Carterland, NJ 85744","320 Bell Dam Apt. 334 Lake Holly, SC 46194",HPB-26471,2023-05-12,Urgent,Normal,#190897,Ryan Villarreal,English,,Connie.Evans@web.com,Single,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape",Jacqueline Fleming (friend),2023-06-11
7502,Anna Jones,7502,6679882328,Female,1957-03-04,+1260-785-7062,505-77-1780,Diana Lewis,"7581 Graham Mews Apt. 181 North Julieberg, NC 84151","8295 Hunt Harbor Suite 292 Sierraside, MA 11773",HPB-32799,2022-03-08,Urgent,Normal,#842349,Richard Reynolds,English,,Anna.Jones@dhl.com,Married,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby",Laura Jacobs (friend),2022-03-16
7503,Heather Reed,7503,3512787621,Female,2017-05-24,+1214-617-8722,958-25-7810,Robin Mccann,"5849 Jessica Points Port Joshua, KY 28953","07094 Jesse Groves Suite 019 East Linda, NJ 73560",HPB-44566,2025-06-08,Emergency,Normal,,Danny Blankenship,English,,Heather.Reed@brown.com,Single,"Cough, fever, chest pain, difficulty breathing","Lisa Reed (father), Victor Reed (mother)",
7504,Mark Taylor,7504,9281451681,Male,1950-02-14,+1815-103-5527,884-53-7913,Albert Lee,"414 Lucero Ridge Apt. 148 New Melindaton, AS 66793","88745 Martinez Cliffs Apt. 972 Petersview, IA 48009",HPB-77367,2023-07-12,Emergency,Normal,#941945,Rachel Walker,English,,Mark.Taylor@aol.com,Single,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Thomas Brooks (girlfriend),2023-08-03
7505,Leah Gill,7505,3150762073,Female,2024-01-23,+1516-161-1031,633-65-5546,Rebecca Alvarez,"49468 Lopez Passage Suite 235 East Douglasside, WY 55159","43163 Price Terrace Suite 601 North Jessica, NY 44681",HPB-98498,2025-04-28,Elective,Abnormal,,Jessica Miller,English,Chinese,Leah.Gill@web.com,Single,fever,"Sara Gill (father), Susan Gill (mother)",
7506,April Osborn,7506,6020232136,Female,1969-03-19,+1212-898-9615,298-74-1656,Jessica Thomas,"420 Anthony Views Suite 356 North Wayne, AS 83981","9295 Daniel Fall Glennmouth, ND 29156",HPB-46926,2019-09-14,Emergency,Normal,#753106,Joseph Smith,German,English,April.Osborn@gmx.com,Widowed,fever and cough,Jeffrey Davis (friend),2019-09-27
7507,Michael Merritt,7507,1459357542,Male,1977-04-08,+1219-426-1358,710-83-2569,Meghan Hutchinson,"62509 Jeffrey Village New Paul, MP 70598","430 Ian Mission Huntville, IN 20787",HPB-59989,2024-04-26,Urgent,Abnormal,#268566,Renee Skinner,English,,Michael.Merritt@gmail.com,Single,"High fever, body aches, fatigue, cough, sore throat, congestion",Mitchell Johnson (fiancee),2024-05-24
7508,Amy Young,7508,4163905718,Female,1972-01-22,+1434-187-4037,221-32-2756,Julie Jenkins DDS,"979 John Ways Fieldston, WV 42565","94436 Rich Fort Lake Monica, KS 02784",HPB-51604,2021-02-03,Urgent,Normal,#354242,Jill Rivera,English,,Amy.Young@aol.com,Single,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting",Brent Ryan (girlfriend),2021-02-15
7509,Tammy Larson,7509,5684671484,Female,1972-01-18,+1386-724-3287,660-26-3311,Robin Montes,USCGC Browning FPO AE 17686,"PSC 1643, Box 3357 APO AA 47332",HPB-69539,2023-04-30,Urgent,Inconclusive,#771683,Melissa Taylor,English,,Tammy.Larson@yahoo.com,Married,"fever, fatigue and difficulty breathing",Zachary Reynolds (friend),2023-05-23
7510,Michael Merritt,7510,1459357542,Male,1977-04-08,+1219-426-1358,710-83-2569,Sarah Huff,"19774 Sarah Vista Suite 105 Adamsfurt, MP 20192","24545 Steven Court Kathleenmouth, IL 62342",HPB-59989,2022-03-28,Emergency,Normal,#686540,Kenneth Smith,English,,Michael.Merritt@gmail.com,Single,"Pelvic pain, painful periods, infertility",Matthew King (friend),2022-04-08
7511,Jamie Orr,7511,1405025968,Male,1950-01-20,+1310-417-9828,572-98-8489,Joel Peterson,"0303 Torres Corners Lake Monicamouth, IL 58420",USNS Wells FPO AP 89178,HPB-96203,2023-11-23,Elective,Inconclusive,#160859,Scott Peters,English,,Jamie.Orr@yahoo.com,Married,,James Watson (friend),2023-11-27
7512,Kenneth Humphrey,7512,3751845104,Male,1972-01-11,+1907-474-5865,537-18-1264,Brian Hall,"46572 Clayton Shores Torresfurt, GU 35074","62406 Omar Lane West Deborahbury, AS 93861",HPB-18552,2019-08-27,Emergency,Normal,#653937,Catherine Mcdowell,English,Spanish,Kenneth.Humphrey@gmail.com,Single,"Persistent cough with yellow or green mucus, chest congestion, fatigue",Bradley Reeves (friend),2019-09-23
7513,Christopher Smith,7513,3118223013,Male,1955-04-16,+1830-387-9433,858-11-8207,Patricia Newman,"220 Brown Court Suite 174 Crystalport, GU 78315","0391 Osborne Valleys Suite 238 Kennedyborough, NH 04355",HPB-47290,2020-11-08,Urgent,Normal,#410978,Frank Pena,English,,Christopher.Smith@brown.com,Single,fatigue,David Dixon (friend),2020-11-18
7514,Kevin Howard,7514,9902522687,Male,1990-01-17,+1718-257-4317,108-38-9348,Joann Mclaughlin,"033 Randall Village Luketon, OK 07765",USS Reyes FPO AP 66039,HPB-37554,2023-03-26,Urgent,Normal,#465594,Matthew Miller,English,,Kevin.Howard@aol.com,Divorced,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)",Debra White (girlfriend),2023-03-27
7515,Bradley Barnett,7515,8330107130,Male,2002-03-23,+1906-454-5282,502-98-1385,Hannah Jimenez,"9171 Barbara Mission Smithside, AS 61462","3171 Angela Harbors East Sheryl, NJ 55869",HPB-62303,2022-08-11,Elective,Abnormal,#526549,Megan Schaefer,English,,Bradley.Barnett@gmail.com,Divorced,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Rachel Ayala (fiancee),2022-09-01
7516,Timothy Gardner,7516,6867650287,Male,1968-02-24,+1229-516-4103,579-14-4655,Billy Oliver,"24680 Lopez Forge Apt. 562 Valdezview, KS 20772","591 Garcia Mall Suite 156 Port Keith, FM 17706",HPB-28992,2023-08-02,Emergency,Normal,#460620,Jeff Mosley,English,,Timothy.Gardner@brown.com,Divorced,,John Ray (girlfriend),2023-08-26
7517,Jessica Thomas,7517,1440335614,Female,1982-03-29,+1907-785-6149,327-55-1179,Robert Taylor,"531 Fields Groves Brianland, MI 20908","8361 Nguyen Glen Karenberg, IN 18527",HPB-26683,2023-09-05,Elective,Inconclusive,#959921,Tamara Stevenson,English,,Jessica.Thomas@web.com,Married,cough and fatigue,Rebecca Sellers (friend),2023-09-30
7518,Jill Griffin,7518,4784489618,Female,1935-01-05,+1478-304-2705,624-22-5460,Joseph Bush,"2232 Rachel Shore Suite 729 West Carlos, WA 81019","678 Larry Flat Apt. 852 Josephland, CO 22153",HPB-69019,2023-10-12,Elective,Abnormal,#857370,Michael Lawrence,English,,Jill.Griffin@brown.com,Single,cough,Janice Moore (girlfriend),2023-11-01
7519,Heather Graham,7519,1109645093,Female,1999-01-29,+1458-514-1632,524-91-2637,Jim Smith,"623 Vega Wall Suite 581 South Elaine, VI 05192","PSC 8282, Box 5148 APO AE 65051",HPB-21594,2019-07-30,Emergency,Normal,#637890,Robert Parks IV,English,,Heather.Graham@brown.com,Single,"Fatigue, Increased hunger, Slow healing of wounds",Robert Stephens (friend),2019-08-24
7520,Kenneth Sharp,7520,8832154476,Male,1988-01-27,+1617-755-4653,696-90-9115,Brent Clark,"6219 Jeremy Pine Christinashire, PR 15161","11498 Ian Route Suite 512 South Tiffanybury, KY 88227",HPB-54396,2022-05-14,Elective,Inconclusive,#774221,William Ibarra,English,Arabic,Kenneth.Sharp@brown.com,Single,"Itchy, red, inflamed skin, rash",Alicia Johnson (girlfriend),2022-05-23
7521,Melanie Shaw,7521,6733679013,Female,1966-02-16,+1412-126-8674,503-96-5164,Eric Chambers,"373 Eugene Corners Apt. 704 Ramosport, RI 01386","49345 Brittney Dam New Jacob, TX 68385",HPB-97461,2023-01-02,Elective,Abnormal,#424916,Danny Chavez,English,,Melanie.Shaw@gmx.com,Single,fever and cough,William Hernandez (friend),2023-01-26
7522,Wanda Carson,7522,5589890975,Female,2000-01-18,+1773-586-9750,794-38-5223,Alexandria Bonilla DDS,"577 Rogers Dam Suite 093 Andrewport, NC 56310","022 Allen Square Kurtfort, WY 09477",HPB-34555,2019-10-24,Emergency,Abnormal,#406475,Steven Bates,English,,Wanda.Carson@gmail.com,Married,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies",Jeremy Barnes (friend),2019-11-01
7523,Carrie Conley,7523,9054486845,Female,1967-04-23,+1213-864-6176,777-98-6455,Mathew Castro,"508 Ralph Forge Suite 184 Adkinsberg, AK 80856","9577 Harvey Harbor North Christinaborough, WY 05937",HPB-97471,2022-01-27,Urgent,Abnormal,#912787,Jeffrey Singleton,English,,Carrie.Conley@web.com,Widowed,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss",Catherine Hudson (friend),2022-02-21
7524,Anthony Dawson,7524,7024944255,Male,1941-08-02,+1617-559-3783,832-36-4429,Scott Wood,USS Torres FPO AA 29101,"7342 Hernandez Neck Apt. 953 Estradaburgh, SD 03479",HPB-20609,2022-09-29,Elective,Normal,#833812,Jamie Fowler,English,,Anthony.Dawson@dhl.com,Single,fatigue,Chad Lindsey (girlfriend),2022-10-13
7525,Susan Gibson,7525,7058259108,Female,1994-01-17,+1901-894-5654,704-79-3560,Ronald Smith,"11654 Denise Hollow Johnbury, AK 40663","18063 Jimenez Mountain Longbury, NC 63378",HPB-37570,2024-04-13,Emergency,Normal,#122586,Joseph Mayo,English,,Susan.Gibson@aol.com,Divorced,fever and cough,Douglas Williams (fiancee),2024-05-12
7526,Kevin Gordon,7526,3562559729,Male,1957-01-12,+1516-490-9653,444-86-1549,Kimberly Chapman,"3785 Martinez Turnpike Lewisfurt, GA 65959","94179 Heath Harbors Vanessaborough, OK 89469",HPB-67477,2022-08-12,Emergency,Abnormal,#150554,Russell Acevedo,English,,Kevin.Gordon@brown.com,Single,"Fatigue, Increased hunger, Slow healing of wounds",Lawrence Rodriguez (friend),2022-08-31
7527,Lauren Estes,7527,6210794055,Female,1998-02-03,+1586-109-1480,568-21-5531,Brian Benjamin,"03732 Cruz Mountain Apt. 628 Smithchester, SC 22315","54043 Ryan Locks Acevedoville, PR 78627",HPB-45759,2022-02-07,Emergency,Normal,#932292,Brian Duncan,English,,Lauren.Estes@yahoo.com,Married,fatigue,Darrell Gomez (fiancee),2022-02-09
7528,Ashley Dawson,7528,8427751625,Female,1941-03-07,+1972-847-1349,403-13-1364,Robert Brown,"96397 Joseph Unions Port Jasonland, NE 47620","4679 Lori Spur Suite 589 Port Morganside, VA 07074",HPB-22609,2020-05-12,Emergency,Inconclusive,#132415,Sandra Poole,Spanish,English,Ashley.Dawson@dhl.com,Widowed,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache",Tracy Henson (girlfriend),2020-05-23
7529,Audrey Cuevas,7529,1268011051,Female,1969-08-05,+1917-677-6838,401-17-5099,Bradley Fox,"369 Green Avenue Suite 396 East Grace, HI 81032","192 Webster Rapids Ryanshire, RI 60510",HPB-92986,2019-06-13,Emergency,Normal,#756037,Anthony Carey,English,Russian,Audrey.Cuevas@aol.com,Married,"Severe headaches, nausea, sensitivity to light and sound",Stephen Jensen (girlfriend),2019-07-03
7530,Amanda Miller,7530,7832052716,Female,1939-06-01,+1726-351-7416,693-49-6636,April Harris,"02282 Johnson Mount Bishopborough, ID 88528",Unit 4624 Box 4361 DPO AA 44052,HPB-37225,2020-06-14,Elective,Inconclusive,#963268,Lacey Nelson,English,,Amanda.Miller@gmx.com,Single,fever and cough,Stephen Byrd (girlfriend),2020-06-24
7531,Michael Wood,7531,1033224434,Male,1942-04-08,+1309-563-9488,108-32-3412,Sandra Wilson,"95666 Timothy Heights Suite 912 Lopezmouth, PW 33371","92918 Hardy Junctions Apt. 256 East Chadport, MD 92280",HPB-51032,2021-02-09,Elective,Normal,#846511,Douglas Wells,English,,Michael.Wood@web.com,Married,cough,Emily Macias (friend),2021-03-09
7532,Tracie Mills,7532,9622107348,Female,1953-03-14,+1562-566-7074,463-23-9985,Evelyn Andrade,"902 Sara Streets Suite 285 Jennifertown, MP 88677","25394 Reed Shores Lake Emily, CT 63048",HPB-47922,2019-05-30,Emergency,Inconclusive,#453629,Anthony Wright,English,,Tracie.Mills@gmx.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Jonathan Martin (girlfriend),2019-06-03
7533,Juan Bell,7533,4170279658,Male,2024-03-27,+1215-607-1956,118-62-1131,Daniel Weber,"8017 Ryan Plains North Karen, IN 20195",Unit 7276 Box 9347 DPO AE 76940,HPB-98363,2025-06-26,Urgent,Abnormal,,Eric Huber,English,Spanish,Juan.Bell@gmx.com,Single,fever,"Veronica Bell (father), Edwin Bell (mother)",
7534,Jennifer Donovan,7534,2496303989,Female,1947-06-23,+1551-720-8018,418-92-8490,Dr. Patrick Bowers Jr.,"7222 Douglas Locks Suite 404 Andrewmouth, IL 15795","39663 Small Plaza East Amandaton, VI 54623",HPB-11081,2023-06-09,Emergency,Abnormal,#828224,Mrs. Kendra Logan MD,English,,Jennifer.Donovan@gmail.com,Single,cough and fatigue,Noah Nichols (girlfriend),2023-07-03
7535,Robert Smith,7535,6357985377,Male,1980-05-04,+1281-809-6494,955-29-1768,Charles Taylor,"2145 Mendoza Ford Suite 508 Chelseashire, WI 50595","2440 Jessica Roads East Jessicaport, VT 15068",HPB-33188,2024-02-18,Elective,Inconclusive,#516956,Steven Velasquez,English,,Robert.Smith@gmail.com,Married,cough,Lisa Booker (girlfriend),2024-03-16
7536,Lisa Stewart,7536,1484819346,Female,1987-02-16,+1907-845-7261,787-32-5220,Christopher Collins,"095 Sue Cove Port Jeff, PW 05063","20176 Jones Estates North Meganburgh, WV 86150",HPB-51195,2021-11-29,Elective,Inconclusive,#632996,Gregory Stewart,English,,Lisa.Stewart@yahoo.com,Married,"High fever, body aches, fatigue, cough, sore throat, congestion",Brett Miles (friend),2021-12-04
7537,Christine Parker,7537,4439620730,Female,1938-07-22,+1262-138-7157,391-35-8636,Scott Clark,"63176 Brittany Tunnel Lake Daniel, GU 22976","81596 Small Way Christineburgh, KY 34486",HPB-20120,2021-07-28,Elective,Inconclusive,#707009,Elizabeth Roberts,English,,Christine.Parker@yahoo.com,Single,"Fragile bones, loss of height over time, back pain, fractures",Yolanda Hall (girlfriend),2021-08-26
7538,Lisa Molina,7538,9484027453,Female,2002-01-15,+1734-985-8949,957-20-6545,Sabrina Frost,"9618 Victor Route Apt. 914 Sheltonchester, MT 76671","599 Castillo Parkway Apt. 689 Simsville, WI 94928",HPB-28966,2023-03-10,Emergency,Abnormal,#611913,Kelli Knight,English,,Lisa.Molina@gmx.com,Single,fatigue,"Amy Molina (father), Joseph Molina (mother)",2023-03-11
7539,Brian Day,7539,1691679528,Male,1957-04-20,+1669-965-9839,437-67-7945,Kelsey Rodriguez MD,"093 Lara Shores Apt. 939 South Joseph, CO 45315","647 Jacob Stravenue Apt. 489 Lewisview, VA 36698",HPB-94057,2021-06-18,Emergency,Abnormal,#828445,Carlos Marshall,English,,Brian.Day@dhl.com,Divorced,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",Eric Sanchez (fiancee),2021-07-17
7540,Omar Henry,7540,3957631429,Male,2003-01-26,+1919-577-9561,367-87-1556,James Foster,"41825 Allison Fords Apt. 528 Port Jesse, CT 04617","576 Edwards Summit Apt. 649 East Elizabethview, OR 45692",HPB-45413,2023-04-29,Urgent,Abnormal,#954172,Matthew Humphrey,English,,Omar.Henry@yahoo.com,Single,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Jeffery Henry (father), Logan Henry (mother)",2023-05-26
7541,Monica Martinez,7541,9369745509,Female,1948-03-06,+1715-767-3382,898-70-5407,Fred Wright,"251 Lisa Skyway Kirkton, ND 83654","41045 Delgado Highway Suite 590 Bryanside, WI 14890",HPB-95387,2023-03-22,Urgent,Normal,#946259,Timothy Nelson MD,English,,Monica.Martinez@gmail.com,Divorced,"Joint pain, swelling, stiffness, limited range of motion, fever, rash",Cindy Davenport (friend),2023-04-19
7542,Kelsey Smith,7542,4304520241,Female,1981-08-17,+1972-624-3943,630-29-8404,Jason Hall,"3695 Cox Springs Suite 759 Danielfurt, WV 09822","0861 Rodriguez Expressway Apt. 999 Meredithmouth, VI 97087",HPB-75027,2019-09-18,Urgent,Inconclusive,#860607,Cynthia Harris,English,,Kelsey.Smith@dhl.com,Married,fever and fatigue,James Miller (girlfriend),2019-10-06
7543,Christopher Schroeder,7543,5695851977,Male,2000-06-10,+1949-849-8635,674-70-3180,Charles Harmon,"09541 Jeffery Plains Buchananchester, MT 51402","516 Priscilla Cliff Apt. 863 Wendybury, NY 94569",HPB-91676,2020-09-15,Urgent,Inconclusive,#382467,Lori Mckee,English,,Christopher.Schroeder@gmx.com,Married,,Jill Robbins (friend),2020-10-14
7544,Jennifer Evans,7544,7841669774,Female,1997-02-16,+1931-977-3778,575-60-4463,Brandi Davis,"51542 Corey Ferry Suite 332 New Shane, FL 19894","110 Derek Pass Lake Charleschester, VA 36462",HPB-41611,2020-09-08,Elective,Abnormal,#313575,Steve Perez,English,,Jennifer.Evans@dhl.com,Single,"Widespread musculoskeletal pain, fatigue, sleep disturbances",Terry Perry (friend),2020-09-11
7545,Nathan Woods,7545,6188381206,Male,1998-01-13,+1313-919-8903,447-14-1077,Michael Johnson,"3924 Travis Rue South Jesseborough, DC 16822","0991 Dennis Park South Jaredville, OR 74532",HPB-34883,2021-07-05,Emergency,Abnormal,#731142,Daniel Ramirez,English,,Nathan.Woods@dhl.com,Married,"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness",Melissa Spencer (friend),2021-07-06
7546,Matthew Mullen,7546,3950875233,Male,1946-01-07,+1570-469-7970,930-34-8231,Jennifer Brown,"436 Frank Springs West Joseph, MD 75391",Unit 4500 Box 1796 DPO AA 38907,HPB-40022,2020-03-12,Emergency,Inconclusive,#632529,Felicia Macdonald,English,,Matthew.Mullen@gmx.com,Single,"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",Todd Salazar (friend),2020-04-02
7547,April Ramirez,7547,4349020547,Female,1937-05-18,+1720-163-1482,239-26-8101,Timothy Jackson,USNV Barnes FPO AA 67018,"654 Hansen Mall North Juan, LA 41758",HPB-68879,2024-04-05,Urgent,Normal,#959772,Robert Steele,Spanish,English,April.Ramirez@gmail.com,Single,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",Susan Armstrong (girlfriend),2024-04-16
7548,William Mcfarland,7548,1281300821,Male,1997-06-06,+1281-406-2930,971-48-1172,Gary Jackson,"PSC 1303, Box 4730 APO AE 97555","6985 Stephen Spurs Lake Juliaberg, ID 60780",HPB-37568,2020-11-14,Elective,Abnormal,#902218,Jonathan Hammond,English,,William.Mcfarland@gmail.com,Single,"fever, cough, fatigue and difficulty breathing",Kevin Caldwell (girlfriend),2020-11-28
7549,Jennifer Gray,7549,9386637685,Female,2006-02-22,+1725-151-1511,885-52-1123,Philip Morris,USNV Morton FPO AA 73930,"450 Allison Springs Apt. 518 South Kristinaborough, ND 07021",HPB-11244,2022-02-01,Emergency,Abnormal,#775787,Brenda Brown,English,,Jennifer.Gray@yahoo.com,Married,"fever, cough and fatigue","Stephanie Gray (father), Tony Gray (mother)",2022-02-28
7550,Russell Ali,7550,7454922095,Male,1996-06-20,+1231-159-4495,794-55-4543,Andrew Jones,"3260 Hart Corners Ericland, AS 23126","3519 Theresa Flat Suite 554 Dustinmouth, TN 20265",HPB-23965,2020-09-09,Elective,Abnormal,#654136,Daniel Hayes,English,Russian,Russell.Ali@dhl.com,Married,"Fragile bones, loss of height over time, back pain, fractures",Timothy Garrett (friend),2020-09-18
7551,Dustin Hill,7551,2444501281,Male,1976-02-27,+1267-545-1312,251-57-3129,Carolyn Smith,"019 Kristina Corner Mcdonaldmouth, NE 96589","97544 Hardy Park Lake Wesley, VA 61091",HPB-95738,2023-07-04,Emergency,Abnormal,#390584,Evan Harrison,English,,Dustin.Hill@aol.com,Widowed,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)",Sabrina Carr (fiancee),2023-07-19
